Hiperparámetros,R2
"('default', 'dos_puntos', 0.2, 0.9, 5, 0.05, 0.8)",0.03237836306972305
"('default', 'default', 0.2, 0.6, 5, 0.2, 0.6)",-0.057807590774774965
"('default', 'dos_puntos', 0.2, 0.9, 2, 0.1, 0.8)",-0.2987482311250532
"('default', 'dos_puntos', 0.2, 0.7, 7, 0.2, 0.8)",-0.5744450274003474
"('default', 'default', 0.2, 0.8, 3, 0.2, 0.8)",-1.4043651130290862
"('default', 'uniforme', 0.2, 0.9, 7, 0.2, 0.6)",-1.849675216089095
"('default', 'uniforme', 0.2, 0.7, 7, 0.1, 0.8)",-1.9104645274485805
"('default', 'dos_puntos', 0.2, 0.8, 5, 0.2, 0.6)",-2.3060066256474445
"('default', 'dos_puntos', 0.2, 0.9, 7, 0.2, 0.6)",-2.6039220889563865
"('default', 'default', 0.2, 0.9, 7, 0.01, 0.8)",-5.629428793324877
"('default', 'uniforme', 0.2, 0.9, 7, 0.1, 0.8)",-6.353589642042444
"('default', 'dos_puntos', 0.2, 0.8, 7, 0.2, 0.6)",-6.671612574222456
"('default', 'default', 0.2, 0.8, 7, 0.2, 0.6)",-8.090428001182675
"('default', 'default', 0.2, 0.8, 5, 0.05, 0.8)",-11.891648213843997
"('default', 'dos_puntos', 0.2, 0.6, 7, 0.05, 0.8)",-17.273193104498468
"('default', 'default', 0.2, 0.6, 5, 0.2, 0.8)",-18.203349789039414
"('default', 'dos_puntos', 0.2, 0.6, 7, 0.2, 0.8)",-19.310307381667936
"('default', 'uniforme', 0.2, 0.6, 7, 0.1, 0.8)",-25.30370138937457
"('default', 'dos_puntos', 0.2, 0.6, 7, 0.1, 0.8)",-25.9840274014356
"('default', 'default', 0.2, 0.8, 5, 0.2, 0.8)",-173.97706206182318
