Hiperparámetros,R2
"('default', 'default', 0.2, 0.6, 5, 0.2, 0.6)",0.8928152964703265
"('default', 'default', 0.2, 0.8, 5, 0.2, 0.8)",0.8843038208055546
"('default', 'dos_puntos', 0.2, 0.6, 7, 0.1, 0.8)",0.8787276764681273
"('default', 'uniforme', 0.2, 0.9, 7, 0.2, 0.6)",0.8751044583618877
"('default', 'default', 0.2, 0.9, 7, 0.01, 0.8)",0.8740165961051366
"('default', 'dos_puntos', 0.2, 0.6, 7, 0.2, 0.8)",0.8738280705246277
"('default', 'dos_puntos', 0.2, 0.8, 5, 0.2, 0.6)",0.8708270119851858
"('default', 'dos_puntos', 0.2, 0.8, 7, 0.2, 0.6)",0.8675939681387292
"('default', 'dos_puntos', 0.2, 0.6, 7, 0.05, 0.8)",0.8666934326154878
"('default', 'default', 0.2, 0.8, 3, 0.2, 0.8)",0.8625520547453261
"('default', 'dos_puntos', 0.2, 0.9, 2, 0.1, 0.8)",0.8606426399757605
"('default', 'default', 0.2, 0.6, 5, 0.2, 0.8)",0.8600514402168093
"('default', 'default', 0.2, 0.8, 5, 0.05, 0.8)",0.8570645932761138
"('default', 'dos_puntos', 0.2, 0.9, 7, 0.2, 0.6)",0.8568027174440213
"('default', 'uniforme', 0.2, 0.9, 7, 0.1, 0.8)",0.8549799363092433
"('default', 'dos_puntos', 0.2, 0.7, 7, 0.2, 0.8)",0.854976294206607
"('default', 'uniforme', 0.2, 0.6, 7, 0.1, 0.8)",0.8536405020663176
"('default', 'default', 0.2, 0.8, 7, 0.2, 0.6)",0.8535487830028071
"('default', 'dos_puntos', 0.2, 0.9, 5, 0.05, 0.8)",0.8518095744583597
"('default', 'uniforme', 0.2, 0.7, 7, 0.1, 0.8)",0.8511910329540869
"('default', 'default', 0.2, 0.8, 5, 0.01, 0.8)",0.8504128074917254
"('default', 'dos_puntos', 0.2, 0.8, 5, 0.05, 0.4)",0.8499837744458084
"('default', 'uniforme', 0.2, 0.6, 5, 0.1, 0.8)",0.8498979927746755
"('default', 'dos_puntos', 0.2, 0.8, 5, 0.1, 0.8)",0.8491810185796769
"('default', 'default', 0.2, 0.7, 7, 0.1, 0.8)",0.8485088348213271
"('default', 'default', 0.2, 0.8, 3, 0.01, 0.8)",0.8472829733418982
"('default', 'default', 0.2, 0.7, 5, 0.1, 0.8)",0.8469515231374946
"('default', 'default', 0.2, 0.7, 3, 0.01, 0.4)",0.8468805907809831
"('default', 'dos_puntos', 0.2, 0.9, 7, 0.2, 0.8)",0.8460191297370111
"('default', 'dos_puntos', 0.2, 0.8, 3, 0.01, 0.8)",0.8458963476162509
"('default', 'uniforme', 0.2, 0.7, 7, 0.2, 0.6)",0.8437301587552085
"('default', 'dos_puntos', 0.2, 0.6, 5, 0.01, 0.8)",0.8417696606176224
"('default', 'uniforme', 0.2, 0.8, 7, 0.2, 0.2)",0.8412584847974689
"('default', 'default', 0.2, 0.9, 7, 0.05, 0.6)",0.8408472885851621
"('default', 'dos_puntos', 0.2, 0.7, 7, 0.01, 0.8)",0.8404190305257178
"('default', 'default', 0.2, 0.8, 7, 0.05, 0.6)",0.8399400783207085
"('default', 'default', 0.2, 0.9, 7, 0.1, 0.6)",0.839929618585861
"('default', 'dos_puntos', 0.2, 0.8, 2, 0.1, 0.8)",0.8392320112219108
"('default', 'dos_puntos', 0.2, 0.8, 3, 0.01, 0.6)",0.838795564591228
